epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03467,0.8614,4.12172,1.00717,0.00068,0.17273,0.03479,0.02317,0.92857,3.79098,1.03926,0.09901,1e-05,1e-05
2,9.02269,0.82149,4.08885,0.99525,0.00068,0.17273,0.03391,0.0231,0.92852,3.79331,1.03896,0.0970297,2.9703e-05,2.9703e-05
3,10.6049,0.82905,4.03855,0.9828,0.00068,0.17273,0.05825,0.04501,0.92877,3.78355,1.04191,0.095049,4.901e-05,4.901e-05
4,12.4911,0.81157,4.08298,0.99818,0.00084,0.19545,0.05947,0.04515,0.93724,3.77189,1.04034,0.0930679,6.7921e-05,6.7921e-05
5,14.7611,0.79441,4.06164,0.99331,0.00084,0.19545,0.06049,0.04529,0.91646,3.75466,1.02134,0.0910864,8.6436e-05,8.6436e-05
6,16.5632,0.89934,4.06506,0.99437,0.001,0.21818,0.05873,0.04538,0.88744,3.72794,1.00468,0.0891046,0.000104555,0.000104555
7,18.0629,0.84551,4.10867,0.97715,0.00116,0.24091,0.05785,0.04564,0.83762,3.70343,0.97497,0.0871223,0.000122278,0.000122278
8,19.6052,0.81521,3.99738,0.97568,0.00112,0.21364,0.0328,0.02618,0.79198,3.66357,0.94603,0.0851396,0.000139605,0.000139605
9,21.1822,0.77688,3.92354,0.9576,0.00108,0.21364,0.02411,0.02071,0.75535,3.633,0.92039,0.0831565,0.000156536,0.000156536
10,22.7478,0.77128,3.92111,0.96765,0.00126,0.26364,0.02547,0.02047,0.72942,3.60935,0.9058,0.0811731,0.000173071,0.000173071
11,24.2857,0.66151,3.84332,0.91489,0.00126,0.26364,0.03284,0.02207,0.70513,3.58478,0.8919,0.0791892,0.00018921,0.00018921
12,26.1274,0.82604,3.93894,0.97485,0.00126,0.26364,0.05796,0.04219,0.69491,3.56403,0.88328,0.077205,0.000204953,0.000204953
13,28.3915,0.7324,3.76247,0.94806,0.00147,0.30909,0.07217,0.04819,0.68075,3.55605,0.88143,0.0752203,0.0002203,0.0002203
14,30.4908,0.72905,3.74967,0.92883,0.00172,0.35455,0.08046,0.05644,0.65293,3.53802,0.8694,0.0732353,0.000235251,0.000235251
15,31.998,0.6602,3.67222,0.8876,0.00124,0.26364,0.09399,0.06681,0.63926,3.50826,0.86249,0.0712498,0.000249806,0.000249806
16,33.6002,0.68065,3.59319,0.92631,0.00108,0.21364,0.10357,0.08149,0.63469,3.48716,0.86003,0.069264,0.000263965,0.000263965
17,35.2188,0.59737,3.52028,0.88125,0.00152,0.30909,0.11439,0.09537,0.6327,3.47281,0.86279,0.0672777,0.000277728,0.000277728
18,36.6254,0.72865,3.49318,0.9355,0.00211,0.42727,0.11825,0.09916,0.6121,3.443,0.86041,0.0652911,0.000291095,0.000291095
19,38.3177,0.667,3.41049,0.90569,0.00206,0.4,0.12281,0.10208,0.60874,3.4167,0.86069,0.0633041,0.000304066,0.000304066
20,40.1749,0.73241,3.50329,0.96998,0.00229,0.45,0.25486,0.21435,0.6139,3.38305,0.8567,0.0613166,0.000316641,0.000316641
21,42.4623,0.68087,3.2203,0.9008,0.00211,0.4,0.23546,0.19786,0.59874,3.35758,0.86003,0.0593288,0.00032882,0.00032882
22,44.3773,0.6122,2.86721,0.89384,0.00232,0.45,0.24165,0.19841,0.59298,3.31527,0.86397,0.0573406,0.000340603,0.000340603
23,45.9214,0.62471,2.83056,0.91753,0.00271,0.55,0.24073,0.19799,0.58083,3.26007,0.86601,0.055352,0.00035199,0.00035199
24,47.5524,0.64307,2.74703,0.91339,0.00333,0.7,0.2374,0.19779,0.58919,3.18571,0.86797,0.053363,0.000362981,0.000362981
25,49.0381,0.57105,2.47377,0.87667,0.90784,0.19503,0.34263,0.28166,0.58211,3.0932,0.87836,0.0513736,0.000373576,0.000373576
26,50.5922,0.61007,2.52885,0.88621,0.98679,0.15909,0.41643,0.33949,0.58708,3.02083,0.88105,0.0493838,0.000383775,0.000383775
27,52.1026,0.65531,2.30289,0.89873,0.99455,0.15909,0.4615,0.38083,0.58753,2.93715,0.88261,0.0473936,0.000393578,0.000393578
28,54.0144,0.61214,2.18104,0.88523,1,0.16938,0.49451,0.41539,0.58858,2.84671,0.88874,0.045403,0.000402985,0.000402985
29,56.2415,0.67803,2.17529,0.89302,1,0.17407,0.55048,0.45526,0.59636,2.74062,0.89692,0.043412,0.000411996,0.000411996
30,58.1965,0.62476,2.15239,0.91163,1,0.17666,0.56397,0.46985,0.60069,2.66361,0.90553,0.0414206,0.000420611,0.000420611
31,59.9705,0.63365,2.0832,0.90708,1,0.18159,0.59463,0.48997,0.58803,2.51929,0.89495,0.0394288,0.00042883,0.00042883
32,62.5139,0.64958,2.04966,0.93579,1,0.2283,0.63544,0.53164,0.58467,2.40465,0.89041,0.0374367,0.000436653,0.000436653
33,65.1213,0.61124,1.8445,0.90537,0.99464,0.35731,0.74415,0.62079,0.58614,2.27313,0.88579,0.0354441,0.00044408,0.00044408
34,67.8078,0.6653,1.92329,0.91366,0.99167,0.45,0.78823,0.66556,0.58639,2.17624,0.88498,0.0334511,0.000451111,0.000451111
35,71.7298,0.63262,1.74792,0.90266,0.96581,0.45,0.78802,0.68649,0.57502,2.09395,0.8777,0.0314577,0.000457746,0.000457746
36,73.6187,0.56044,1.66526,0.88321,0.70357,0.45,0.79056,0.6837,0.57525,2.00524,0.87504,0.029464,0.000463985,0.000463985
37,75.2072,0.65963,1.63438,0.88798,0.75769,0.54675,0.79581,0.68739,0.57397,1.9051,0.87689,0.0274698,0.000469828,0.000469828
38,76.7116,0.66864,1.847,0.94055,0.79791,0.60955,0.82731,0.72218,0.58072,1.82302,0.87834,0.0254753,0.000475275,0.000475275
39,78.3021,0.57115,1.66858,0.87744,0.86693,0.69327,0.85246,0.73709,0.58377,1.79354,0.88203,0.0234803,0.000480326,0.000480326
40,79.8065,0.67049,1.63676,0.90018,0.85021,0.72871,0.84779,0.74651,0.56508,1.73505,0.87639,0.021485,0.000484981,0.000484981
41,81.3973,0.58656,1.6313,0.88741,0.80451,0.70152,0.80994,0.71608,0.57767,1.76934,0.8817,0.0194892,0.00048924,0.00048924
42,84.1356,0.59485,1.48024,0.85188,0.8071,0.66475,0.82021,0.72083,0.58453,1.77467,0.88354,0.0174931,0.000493103,0.000493103
43,86.1678,0.60342,1.42416,0.86427,0.814,0.68055,0.82325,0.71448,0.60602,1.7753,0.88659,0.0154966,0.00049657,0.00049657
44,87.6808,0.55476,1.45795,0.87563,0.85485,0.72228,0.8445,0.72557,0.60097,1.7673,0.88312,0.0134996,0.000499641,0.000499641
